Ligand Type,ROC-AUC Score,Average Precision,F1-score,MCC,Precision,Recall,Method
FE,0.7933612411780888,0.46775179788391524,0.6730615507593924,0.6765478685633657,0.7854477611940298,0.5888111888111888,M-Ionic (PSSM + ESM2)
FE2,0.9358209905074244,0.6963864556614509,0.8328445747800586,0.8320618754287932,0.7955182072829131,0.8738461538461538,M-Ionic (PSSM + ESM2)
MG,0.7420453770934324,0.1587102606275783,0.382433489827856,0.38569403316006945,0.31195149194191796,0.49406115744250695,M-Ionic (PSSM + ESM2)
MN,0.844808004409002,0.51722264325944,0.7163769441903018,0.7137549856877543,0.7421800947867299,0.6923076923076923,M-Ionic (PSSM + ESM2)
PO4,0.6018229280585832,0.10105243232021614,0.27882960413080893,0.28787495727300305,0.4204152249134948,0.20858369098712445,M-Ionic (PSSM + ESM2)
SO4,0.5752689282451935,0.09876529911451096,0.23691099476439786,0.2723769740885838,0.5127478753541076,0.15404255319148935,M-Ionic (PSSM + ESM2)
ZN,0.9552252719287483,0.6981727863863252,0.830707037373154,0.8302503875424403,0.7590652091971353,0.9172815887765328,M-Ionic (PSSM + ESM2)
CA,0.8282574174672209,0.2763528014247806,0.5001858045336307,0.5045830978239862,0.3953507888553206,0.6806819823724896,M-Ionic (ESM-MSA-1b)
CO,0.6384083044982699,0.2855147944468478,0.43360433604336046,0.5238327627792907,1.0,0.2768166089965398,M-Ionic (ESM-MSA-1b)
CU,0.9266729359128117,0.5538772035788644,0.73492286115007,0.73861313070345,0.6413708690330477,0.8604269293924466,M-Ionic (ESM-MSA-1b)
FE,0.7147125967860466,0.35461922598782436,0.5615314494074749,0.5857327028413604,0.806282722513089,0.4307692307692308,M-Ionic (ESM-MSA-1b)
FE2,0.8557304080623022,0.5352962266684451,0.7295597484276729,0.727144459777407,0.7459807073954984,0.7138461538461538,M-Ionic (ESM-MSA-1b)
MG,0.6997356493164447,0.1582070631840905,0.3906535231836437,0.3851376675608851,0.3767605633802817,0.40561031084154664,M-Ionic (ESM-MSA-1b)
MN,0.8195101064651326,0.46174984782015266,0.6756630991158679,0.6731770829753857,0.7131630648330058,0.6419098143236074,M-Ionic (ESM-MSA-1b)
PO4,0.5576741485097407,0.05551613896984156,0.17673235855054037,0.19383604950472816,0.34068627450980393,0.11931330472103004,M-Ionic (ESM-MSA-1b)
SO4,0.5471172395614534,0.07337980473666403,0.16341287057122195,0.2217992616203586,0.5432692307692307,0.09617021276595744,M-Ionic (ESM-MSA-1b)
ZN,0.9535892558176248,0.722218434941254,0.8464039866548418,0.8448908894670285,0.7889308770272399,0.9129088093285962,M-Ionic (ESM-MSA-1b)
CA,0.8529675856171969,0.37642712451264265,0.5995799579957996,0.5977871320563045,0.5127257799671593,0.721861002745268,M-Ionic (ESM2 + ESM-MSA-1b)
CO,0.6728629439153097,0.3312497122209086,0.505050505050505,0.5660183067330526,0.9345794392523364,0.3460207612456747,M-Ionic (ESM2 + ESM-MSA-1b)
CU,0.9379382728072103,0.6080045927660248,0.7726618705035972,0.7750514708722305,0.6875800256081946,0.8817733990147784,M-Ionic (ESM2 + ESM-MSA-1b)
FE,0.768522425302548,0.45366563696341466,0.6536502546689303,0.6658577649055261,0.8315334773218143,0.5384615384615384,M-Ionic (ESM2 + ESM-MSA-1b)
FE2,0.921687992251717,0.6355340220165131,0.7947976878612716,0.7941552832202918,0.7493188010899182,0.8461538461538461,M-Ionic (ESM2 + ESM-MSA-1b)
MG,0.7382848934522813,0.14601310769184134,0.36365350174380245,0.36871499327284,0.28998797354179195,0.4874905231235785,M-Ionic (ESM2 + ESM-MSA-1b)
MN,0.8234574793070794,0.5090322376211548,0.7078109932497588,0.7078138200899191,0.7783669141039237,0.6489832007073386,M-Ionic (ESM2 + ESM-MSA-1b)
